accounting_office,accounting_office_cvr,declaration_count
Revisionsfimaet W. Bach Nørgaard,18192195,13
Revisionsfirma Bent Madsen,13672970,0
Revisionsfirma Børge Lorenzen,18798344,0
Revisionsfirma C. & Co,37905305,0
Revisionsfirma Ulla Svenningsen,18393387,0
Revisionsfirmaet A P MØLLER,72707710,0
Revisionsfirmaet Albrechtsen,77926410,156
Revisionsfirmaet Allan Bernhard,26688027,0
Revisionsfirmaet Arne Bang,78682418,14
Revisionsfirmaet Asger Wiuff Andersen,32149863,2
Revisionsfirmaet Axel Gram,16645699,1
Revisionsfirmaet Bayer,15202580,0
Revisionsfirmaet Bendt Stendahl,86046717,0
Revisionsfirmaet Benny Jensen,17937987,2
Revisionsfirmaet Benny Lund Jensen,37230359,0
Revisionsfirmaet Bent Jørgensen,57652551,1
Revisionsfirmaet Bent Rindom,51229428,0
Revisionsfirmaet Chr. Knudsen,21813400,0
Revisionsfirmaet Christian Danielsen,16953199,7
REVISIONSFIRMAET CLAUS WINKEL ApS,13188491,0
Revisionsfirmaet Edelbo,35486178,429
Revisionsfirmaet Edelbo & Lund-Larsen,32327249,88
Revisionsfirmaet Else Høy,15275677,0
Revisionsfirmaet Erik Andersen,15534397,0
Revisionsfirmaet Erik Hultquist,15396105,4
Revisionsfirmaet Erik Reinsborg,25491742,0
Revisionsfirmaet Evan Klarholt,10686504,0
Revisionsfirmaet Flemming Hansen,15270144,46
Revisionsfirmaet Freddy Rasmussen,15054840,0
Revisionsfirmaet Gert Ovesen,13364796,0
Revisionsfirmaet Gutfelt,13254192,5
Revisionsfirmaet Hanne og Erling Lund,35143114,3
Revisionsfirmaet Hartvig & Aalund,11157203,12
Revisionsfirmaet Henrik Tange,37915718,0
Revisionsfirmaet Højmose,30771508,1
Revisionsfirmaet Højmose Christiansen ApS,43917455,1
Revisionsfirmaet Højmose IVS,36988762,0
Revisionsfirmaet Højvar & Skaaning,28248598,0
Revisionsfirmaet Irene Sjølin ApS,37470996,0
Revisionsfirmaet Ivan Kjeldsen,30613791,22
Revisionsfirmaet Jan Kristensen,35383646,12
Revisionsfirmaet Jens Søndergaard,18738007,0
Revisionsfirmaet Jens Vindfeldt,15897996,0
Revisionsfirmaet John Schantz,28312393,20
Revisionsfirmaet Jørgen Gilling,18619407,1
Revisionsfirmaet Jørgen Larsen,54471556,2
Revisionsfirmaet Jørgen Larsen I/S,14678085,4
Revisionsfirmaet Kenneth Birkelund,32147437,0
Revisionsfirmaet Kim Jacobsen,36065346,1
Revisionsfirmaet Kirch Andersen,18288389,0
Revisionsfirmaet Kjeldgaard og Thulstrup,25900405,0
Revisionsfirmaet KRH,37596272,0
Revisionsfirmaet KRH ApS,42040614,0
Revisionsfirmaet Kurt Astrup,13068135,0
Revisionsfirmaet Lars Bastholm,36696486,6
Revisionsfirmaet Lars Bo,27022863,0
Revisionsfirmaet Lars Jeppesen,26923891,0
Revisionsfirmaet Lars Jeppesen ApS,44585650,11
Revisionsfirmaet Lars Olsen,37135119,4
Revisionsfirmaet Leif Vesterlund,10092159,0
Revisionsfirmaet Lisbeth Bo Jørgensen,14052488,0
Revisionsfirmaet Lund & Christiansen,10623685,4
Revisionsfirmaet MBP,31167140,11
Revisionsfirmaet Mentor,28136196,2
Revisionsfirmaet Michael Fræmohs,47808650,0
Revisionsfirmaet Mogens Andersen,26386330,0
Revisionsfirmaet Morten Schneider,33176996,0
Revisionsfirmaet Niels Harder,44682915,0
Revisionsfirmaet Niels Ole Hansen,26121884,0
Revisionsfirmaet Nielsen & Olesen,21294306,0
Revisionsfirmaet Obsen & Nielsen,26399610,2
Revisionsfirmaet Ole Dahl,11328881,0
Revisionsfirmaet Ole Hansen,12155662,0
"Revisionsfirmaet Ole Hansen, Statsautoriseret Revisionsanpartsselskab",17246496,6
Revisionsfirmaet Ole Poulsen,32008143,0
Revisionsfirmaet Ole Vestergaard,31501741,43
Revisionsfirmaet Peder Albertsen,18743396,12
Revisionsfirmaet Peder Holt,21872741,1
Revisionsfirmaet Per Abelsen,34066698,0
Revisionsfirmaet Per Jacobsen,15319887,0
Revisionsfirmaet Per Kronborg,26659817,41
Revisionsfirmaet Per Steen Hansen,38124315,0
Revisionsfirmaet Peter Berg,21052302,2
Revisionsfirmaet Peter Deiborg,16346578,3
Revisionsfirmaet Peter Høg,65608154,0
