accounting_office_cvr,accounting_office_name,declarations,audits,reviews,extended_reviews,assistance,other_types,class_b,class_b_assistance,class_b_extended_reviews,class_b_audits,class_b_reviews,class_other,addressable_annual_reports,auditors_with_mne,source_names
19154408,Krogh & Thomsen,235,2,0,101,132,0,235,132,101,2,0,0,233,2,Krogh & Thomsen
31929342,Multi Revision,234,3,0,42,189,0,232,189,42,1,0,2,231,1,Multi Revision
21631930,"Dueholm & Partnere, Godkendt Revisionshus",233,34,0,41,158,0,233,158,41,34,0,0,199,2,"Dueholm & Partnere, Godkendt Revisionshus"
32160565,Agenda Revision,230,17,0,68,145,0,225,145,68,12,0,5,213,4,Agenda Revision
39886227,Talmennesker,230,12,0,47,171,0,230,171,47,12,0,0,218,2,Talmennesker
33357966,Attiri,228,5,0,49,174,0,228,174,49,5,0,0,223,2,Attiri
15618175,Compu Revision,227,0,1,83,143,0,227,143,83,0,1,0,226,1,Compu Revision
14788107,Aktiv Revision Silkeborg,226,7,0,51,168,0,225,168,51,6,0,1,219,2,Aktiv Revision Silkeborg
45016501,Din Revisor Svaneke ApS Godkendte revisorer,225,12,0,51,162,0,225,162,51,12,0,0,213,1,Din Revisor Svaneke ApS Statsautoriserede revisorer
42936847,APEX Statsautoriserede revisorer ApS,224,5,0,81,138,0,224,138,81,5,0,0,219,1,APEX Statsautoriserede revisorer ApS
37596272,Revisionsfirmaet KRH,219,0,1,26,192,0,219,192,26,0,1,0,218,1,Revisionsfirmaet KRH + Revisionsfirmaet KRH ApS
10019699,Danrevi Løgstør,218,5,0,60,153,0,218,153,60,5,0,0,213,3,Danrevi Løgstør
37821055,Lindeberg Storm Fischer,217,84,2,8,123,0,217,123,8,84,2,0,131,2,Lindeberg Storm Fischer
21447587,FER Fyns Erhvervsrevision,217,12,1,54,150,0,214,150,54,9,1,3,204,3,FER Fyns Erhvervsrevision
41762667,"Grønlands Revision A/S, statsautoriserede revisorer",213,69,0,61,82,1,197,82,61,54,0,15,143,5,"Grønlands Revision A/S, statsautoriserede revisorer + Grønlands Revision Godkendt Revisionspartnerselskab"
35679154,Revisorhuset Hinnerup,207,1,1,58,147,0,207,147,58,1,1,0,205,2,Revisorhuset Hinnerup
39751445,Consens,206,11,0,75,120,0,206,120,75,11,0,0,195,2,Consens
35827943,Klar Revision,203,8,0,25,170,0,203,170,25,8,0,0,195,2,Klar Revision
36412143,E-Revisor.com,201,1,0,29,171,0,201,171,29,1,0,0,200,2,E-Revisor.com
