accounting_office_name,accounting_office_cvr,audits,reviews,extended_reviews,assistance,total_declarations,total_analyses,active_users,distinct_clients_analysed,first_activity_date,latest_activity_date,analyses_per_declaration,adoption_score
Copenhagen Management Accounting Company ApS,33932464,0,0,0,0,0,8,1,1,2024-09-26,2024-10-14,0.000000,0.000000
Aage Maagensen,12901038,41,15,138,192,386,7,1,1,2025-10-09,2025-10-23,0.018135,0.018135
Ullits & Winther,32093272,151,1,242,415,809,7,1,1,2024-10-29,2024-10-29,0.008653,0.008653
E-conomia Consulting ApS,44268965,0,0,0,0,0,7,1,3,2024-05-06,2024-10-20,0.000000,0.000000
PKF Munkebo Vindelev,14119299,495,2,38,181,716,6,1,1,2026-01-05,2026-01-05,0.008380,0.008380
Roknskaparfelagið skrásettir grannskoðarar Sp/f,413887,0,0,0,0,0,6,2,3,2025-10-30,2025-12-01,0.000000,0.000000
Redmark,29442789,1356,8,1650,3103,6117,5,1,1,2025-04-08,2025-04-08,0.000817,0.000817
Revisionsfirmaet Gutfelt,13254192,5,0,57,80,142,5,1,1,2024-11-05,2024-11-05,0.035211,0.035211
PJ Køleteknik ApS,37654795,0,0,0,0,0,5,1,1,2024-09-23,2024-09-24,0.000000,0.000000
Regnskabsvirksomheden Schaumburg/Bendtsen ApS,28655835,0,0,0,0,0,5,1,1,2024-10-28,2024-10-29,0.000000,0.000000
Revisionscentret Aabenraa,29695636,37,0,384,447,868,4,1,1,2024-09-03,2024-09-03,0.004608,0.004608
ERASMUS & PARTNERE A/S,28493584,0,0,0,0,0,4,1,1,2024-11-05,2024-11-07,0.000000,0.000000
Regnskabsfokus,33578628,0,0,0,0,0,4,1,1,2026-01-05,2026-01-05,0.000000,0.000000
RevisorGruppen I/S,31481945,0,0,0,0,0,4,1,1,2026-02-17,2026-02-18,0.000000,0.000000
The White Box,40612246,0,0,0,0,0,4,1,1,2025-07-16,2025-07-16,0.000000,0.000000
Baagøe Schou,21148148,380,7,195,601,1183,3,1,1,2024-08-13,2024-08-13,0.002536,0.002536
Kovsted & Skovgård,38751646,88,1,370,791,1250,3,1,1,2025-03-26,2025-03-26,0.002400,0.002400
Kreston SR,33948794,38,0,109,399,546,3,1,1,2024-11-25,2024-11-25,0.005495,0.005495
Stoisk,28919719,0,0,0,0,0,2,1,1,2025-04-14,2025-10-23,0.000000,0.000000
PricewaterhouseCoopers,33771231,5714,11,3856,4543,14124,1,1,1,2024-12-16,2024-12-16,0.000071,0.000071
Erhvervshus Midtjylland S/I,40084606,0,0,0,0,0,1,1,1,2025-02-06,2025-02-06,0.000000,0.000000
Gaaga,42027995,0,0,0,0,0,1,1,1,2025-12-17,2025-12-17,0.000000,0.000000
NM Regnskab ApS,44729989,0,0,0,0,0,1,1,1,2024-09-29,2024-09-29,0.000000,0.000000
RegnskabsHuset.com,18067676,0,0,0,0,0,1,1,1,2025-05-20,2025-05-20,0.000000,0.000000
