accounting_office,accounting_office_cvr,declaration_count
Revisionsfirmaet Peter Høg,65608154,7
Revisionsfirmaet Poul Bernhardt Larsen,66660214,0
Revisionsfirmaet Poul Rexen Thomsen,81127115,10
Revisionsfirmaet Rathmann & Mortensen,27521975,0
Revisionsfirmaet Revicon,12707789,55
Revisionsfirmaet Seiersen Revision,32697674,227
Revisionsfirmaet Søren Askly,39846144,56
Revisionsfirmaet Søren Kahr,41832096,14
Revisionsfirmaet Svend Dørffer,15659777,94
Revisionsfirmaet Svend Rosendahl,11163947,5
Revisionsfirmaet Svendsen,34581673,0
Revisionsfirmaet Tage Kielsgaard Rasmussen,15137371,0
Revisionsfirmaet Tage Sørensen,34879753,203
Revisionsfirmaet Tommy Jensen,20082097,1
Revisionsfirmaet Tommy Larsen,98727558,142
Revisionsfirmaet Torben Langebæk,19697274,0
Revisionsfirmaet Torlund,31165571,37
Revisionsfirmaet Woiremose & Partner,25735560,155
Revisionsfirmaet Zinnsgade,83005815,34
Revisionshuset,12848544,23
Revisionshuset Tal & Tanker,37315664,1150
RevisionsHuset Viborg v/Leif Aasten,36871644,18
RevisionsHuset-Viborg v/Mogens Bech,37054933,27
Revisionskontoret,69885055,40
REVISIONSKONTORET AF 2004 ApS,13179638,35
Revisionskontoret Fredericia-Vejle,32348831,1
Revisionskontoret i Asnæs,16603473,30
Revisionskontoret i Faxe,16609331,105
Revisions-Partner,69305210,394
Revisionsselskabet LKG,36735465,0
Revisionsselskabet Mougaard,21849588,34
Revisionsselskabet v/ Anders Christian Mogensen,48569528,20
Revisionvest,11901840,35
RéVison+,35465979,0
Revisor Finn Erik Rasmussen,54472455,171
Revisor Fritzbøger,41982470,16
Revisor Gunnar Kjærgaard Larsen,46639715,10
Revisor Inge Linkamp ApS,26297974,14
Revisor Klaus Johansson,13206090,0
Revisor Niels Jørgen Hansen,36333154,0
Revisor Nielsen ApS,40832211,0
Revisor/Lasse Larsen,70666758,44
Revisor1,10740746,0
Revisorclaus IVS,37517623,0
RevisorDK,38257846,373
REVISOREN I SISIMIUT REGISTRERET REVISIONSANPARTSSELSKAB,12506864,0
Revisorerne Bastian og Krause,27335616,121
Revisorerne i Skals,19952193,232
Revisor-fællesskabet af 1976,57981717,15
Revisorfirmaet Skov Jeppesen,32688179,14
RevisorGården,19720705,14
RevisorGården Holbæk A/S,45071391,398
Revisorgården i Odense,14335102,84
Revisorgården v/Jane Lading Pedersen,16914800,10
Revisorgruppen v/Eva Kristensen og Lars Gotfredsen,35071199,129
RevisorGruppen v/Lilly Jeppesen,18587246,108
Revisorhuset,26593093,206
Revisorhuset Halsnæs,20572043,64
Revisorhuset Hasselager,12549679,1
Revisorhuset Hinnerup,35679154,145
Revisorkompagniet,34045607,92
Revisor-Team,35519432,0
Revisorteamet.dk,31634466,2
Revisto I/S,26730597,55
ReviTotal Statsautoriseret Revisionsfirma,19857298,250
ReviVision,76893713,240
Revsbæk Revision,17169483,124
RGD REVISIONSPARTNERSELSKAB,30506804,1
RH Revision Statsautoriseret Revisionsanpartsselskab,32319998,2
Ri Statsautoriseret Revisionspartnerselskab,44528045,161
"Ri, Statsautoriseret Revisionsaktieselskab",53371914,0
Rigsrevisionen,77806113,0
Rinto Godkendt Revisionsvirksomhed,42748668,0
Risskov Revision,31574994,0
RN - Revision Nordjylland,28966571,134
RND Partner,27492487,91
Robæk,33946406,320
Rödl & Partner Danmark,39188678,45
Roesgaard,37543128,1132
Rønne Revision,74717810,280
ROSENLUND FINANS ApS,28153279,0
RR Revision v/Benny Jakobsen,73953413,245
RSM,25492145,3031
"Rudersdal Revision, Registrerede revisorer",14792074,19
RugaardRevision,29033609,22
R-Vision,25107020,9
S.J. Revision,25859138,47
SAa Revision,34880034,20
Sædding Revision,25510461,251
Sagro,27428843,126
Schmidt Revision,29529507,82
"Schwartz, Pio & Co",31933595,0
Schyberg Lykke Registreret Revisionsanpartsselskab,32469345,144
SEBISA ApS,35207422,0
Skanderborg Revision,30607236,23
Skatteinform,35394206,43
Skoda & Partner,15806206,0
SKODSBORG FINANS ApS,35833803,0
Skov Revision,27525989,267
Skovborg & Co. P/S,41071222,1
Slebo Revision Statsautoriseret Revisionsanpartsselskab,44984326,68
SMV Regnskab ApS,44662574,0
Søby Revisorer,19125742,455
Søhøjlandets Rådgivning P/S,45265897,2
Søhøjlandets Regnskabskontor,27350755,9
Søhøjlandets revision,31888026,19
SOKKELUND ApS,32291171,1
Solveo Statsautoriseret Revisionspartnerselskab,40844899,138
Sømad ApS,38388002,0
Sønderjyllands revision,18061635,683
Sønderjysk Landboforening,47437113,0
Sønderup,31824559,470
Sønderup & Partnere,27905072,258
Sønderup Godkendt Revisionsaktieselskab,45907880,659
SR Revision,19536890,194
Statsaut. Rev. Jan Vegge,15083743,12
Statsaut. Rev. P.B. Matthiesen,70697319,0
Statsaut. Revisor G. Holm-Nielsen,38518046,0
Statsaut. Revisor J Løbner,29538565,128
Statsautoriseret revisionsfirma Bent Andrup,15592354,10
Statsautoriseret revisor Aksel Christensen,18770407,0
Statsautoriseret revisor Bjarne Bertelsen,13940207,0
Statsautoriseret revisor Finn Ellegaard,15935243,0
Statsautoriseret revisor Kresten Hyldahl,77931112,0
Statsautoriseret Revisor Leif G. Rasmussen,91112353,36
Statsautoriseret revisor Michael Stenskrog,30217152,1
Statsautoriseret revisor Ole Tønnesen,32821030,17
Statsautoriseret revisor Søren Cortsen,27909833,12
Status Revision,30707907,432
Steen Koch Registrerede revisorer,34894949,27
Stjerne Ejendomsservice ApS,38796526,0
Svaneke Revision I/S,38294539,0
Svaneke Revision v/ Michael Kuhre,13339287,0
Syddansk Revision,15681586,1
Sydvestjysk Revision ApS Godkendt Revisionsselskab,42044040,39
T. Rasmussen Revision,32942490,22
Tal & Tanker Nord,35305890,0
Talkompagniet,33534841,215
Talkymisten v/Reg. revisor Susanne Nielsen,21304476,13
Talmennesker,39886227,167
Talsnedkeren,36279079,9
TALSTABLEREN REGISTRERET REVISIONSANPARTSSELSKAB,26310172,15
TANGSTAD - STATSAUTORISERET REVISIONSANPARTSSELSKAB,43661434,98
Team Revision,29423989,93
Tetras Statsautoriseret Revisionsanpartsselskab,45852652,24
THN Revision,32500145,54
Thorvald Rein,79355313,0
Thrane Consult,32090516,51
Thybo Revision,34586977,0
TimeVision,38267132,10
TimeVision Frederiksberg,31943582,0
TJEK Revision & Rådgivning,36563877,383
TK Revision,30201795,56
Toft Revision,20868546,23
Toldbodens Revision & Regnskab,12838840,51
Tønder Revision,29142807,327
Toprevi,11211585,23
Torben Jakobsen,72461312,34
Torsten Blichert,90429868,0
Torsten Rasmussen,34901295,26
Totalrevision Vordingborg,19261735,0
Tranberg,26063655,100
Trekroner Revision,28991355,312
Troense Regnskab & Bogføring,42162752,0
TS Revision,37201944,0
TT REVISION,29168504,110
Ukendt revisorfirma,Ukendt revisorfirma,179
Ulla Lærke,25768108,0
Ullits & Winther,32093272,415
Uniconsult,10510945,13
Unik-Revision,17128973,45
V & CO,34622310,142
Vadskær Krømmelbein,40689745,271
Valsgård Revision,27106595,18
Vedbæk Revision,14262172,123
Vejledal Bogføring og Regnskab,18235307,0
velas I/S,30869052,112
Vendelbo,10110807,58
Vendia Revision og Regnskab,43576577,17
VERAX,31140986,5
Verifica,33684096,28
Veritas,35657975,3
Verum Cura,39886871,2
"Verum Cura, Godkendt Revisionsanpartsselskab",43340646,154
Vestjysk Landboforening,25076079,139
VH Revision,17871080,419
"Vibs Revision, registreret revisor ApS",39130335,84
Vilstad Revision og Regnskabsservice,31888425,19
Vistisen & Lunde,35658432,6
VKST Revision,34351961,280
VL Revision,29817286,0
W. Kragh,16206407,221
Willads & Vibe-Hastrup,29619670,209
Wind Revision,34804699,0
Wyrwik,16563579,17
