accounting_office_cvr,accounting_office_name,mne_source_name,declarations_2025_2026,class_b,class_b_assistance,class_b_extended_review,class_b_audit,class_b_review,addressable_annual_reports,class_other
14788107,Aktiv Revision Silkeborg,Aktiv Revision Silkeborg,226,225,168,51,6,0,219,1
45016501,Din Revisor Svaneke ApS Godkendte revisorer,Din Revisor Svaneke ApS Statsautoriserede revisorer,225,225,162,51,12,0,213,0
42936847,APEX Statsautoriserede revisorer ApS,APEX Statsautoriserede revisorer ApS,224,224,138,81,5,0,219,0
37596272,Revisionsfirmaet KRH,Revisionsfirmaet KRH ApS + Revisionsfirmaet KRH,219,219,192,26,0,1,218,0
10019699,Danrevi Løgstør,Danrevi Løgstør,218,218,153,60,5,0,213,0
37821055,Lindeberg Storm Fischer,Lindeberg Storm Fischer,217,217,123,8,84,2,131,0
21447587,FER Fyns Erhvervsrevision,FER Fyns Erhvervsrevision,217,214,150,54,9,1,204,3
41762667,"Grønlands Revision A/S, statsautoriserede revisorer","Grønlands Revision Godkendt Revisionspartnerselskab + Grønlands Revision A/S, statsautoriserede revisorer",213,197,82,61,54,0,143,15
35679154,Revisorhuset Hinnerup,Revisorhuset Hinnerup,207,207,147,58,1,1,205,0
39751445,Consens,Consens,206,206,120,75,11,0,195,0
35827943,Klar Revision,Klar Revision,203,203,170,25,8,0,195,0
36412143,E-Revisor.com,E-Revisor.com,201,201,171,29,1,0,200,0
40844899,Solveo Statsautoriseret Revisionspartnerselskab,Solveo Statsautoriseret Revisionspartnerselskab,200,200,146,54,0,0,200,0
32789153,Leth & Partnere,Leth & Partnere,198,198,168,18,12,0,186,0
35235892,Nem Revisor ApS,Nem Revisor ApS,197,197,87,96,12,0,183,0
38980149,Regnskabsfabrikanten,Regnskabsfabrikanten,196,196,152,43,0,0,195,0
26812372,Revisioncentret Tønder/Skærbæk,Revisioncentret Tønder/Skærbæk,195,195,134,44,17,0,178,0
31782139,CKF Revision ApS Godkendt revisionsfirma,CKF Revision ApS Godkendt revisionsfirma,193,193,141,52,0,0,193,0
14795707,Dansk Revision Brønderslev,Dansk Revision Brønderslev,191,191,156,25,10,0,181,0
14327746,BJ Regnskab,BJ Regnskab,190,188,108,55,24,0,163,1
28902867,Revision- og Regnskabskontoret,Revision- og Regnskabskontoret,189,188,129,22,37,0,151,1
32469345,Schyberg Lykke Registreret Revisionsanpartsselskab,Schyberg Lykke Registreret Revisionsanpartsselskab,188,188,142,43,3,0,185,0
31061741,Mazars Statsautoriseret Revisionspartnerselskab,Mazars Statsautoriseret Revisionspartnerselskab,188,154,43,27,84,0,70,27
39164388,Helledie Revision,Helledie Revision,186,186,146,26,14,0,172,0
11790577,Kappelskov Revision,Kappelskov Revision,185,185,142,36,7,0,178,0
35071199,Revisorgruppen v/Eva Kristensen og Lars Gotfredsen,Revisorgruppen v/Eva Kristensen og Lars Gotfredsen,182,182,135,27,19,1,162,0
29168504,TT REVISION,TT REVISION,181,179,111,63,5,0,174,2
31885191,Bjarke Kjær,Bjarke Kjær,181,181,146,33,2,0,179,0
41657332,Bro Søndergaard Statsautoriseret Revisionsanpartsselskab,Bro Søndergaard Statsautoriseret Revisionsanpartsselskab,180,179,80,57,33,9,137,1
37029815,Revidata,Revidata,179,177,111,26,40,0,137,2
54472455,Revisor Finn Erik Rasmussen,Revisor Finn Erik Rasmussen,177,177,177,0,0,0,177,0
38140515,HJ Revision ApS,HJ Revision ApS,177,177,177,0,0,0,177,0
44984326,Slebo Revision Statsautoriseret Revisionsanpartsselskab,Slebo Revision Statsautoriseret Revisionsanpartsselskab,175,172,79,81,11,1,160,1
18587246,RevisorGruppen v/Lilly Jeppesen,RevisorGruppen v/Lilly Jeppesen,174,174,115,48,11,0,163,0
37858498,Bornholms Revision,Bornholms Revision,173,165,66,69,30,0,135,8
36493372,RevisionsCentrum,RevisionsCentrum,173,173,151,22,0,0,173,0
68497817,Møller-Jensen Statsautoriseret Revisionsanpartsselskab,Møller-Jensen Statsautoriseret Revisionsanpartsselskab,171,170,112,54,4,0,166,1
27335616,Revisorerne Bastian og Krause,Revisorerne Bastian og Krause,170,170,124,20,26,0,144,0
17169483,Revsbæk Revision,Revsbæk Revision,170,163,116,42,3,2,158,0
26632315,Intension,Intension,165,164,126,37,1,0,163,1
41109483,Abrahamsen Revision,Abrahamsen Revision,164,164,134,27,3,0,161,0
30869052,velas I/S,velas I/S,164,164,110,53,0,1,163,0
21356190,Prima Revision,Prima Revision,162,162,140,20,2,0,160,0
45086607,eRevision Statsautoriseret Revisionsanpartsselskab,eRevision Statsautoriseret Revisionsanpartsselskab,162,162,146,16,0,0,162,0
21111511,Kolding Herreds Landbrugsforening,Kolding Herreds Landbrugsforening,162,161,121,30,10,0,151,1
10352231,Revisionscentret v/Jesper Thygesen,Revisionscentret v/Jesper Thygesen,161,161,161,0,0,0,161,0
34045607,Revisorkompagniet,Revisorkompagniet,161,158,85,60,11,2,145,3
20415991,J H Regnskab v/Jan Ekmann Hørsel,J H Regnskab v/Jan Ekmann Hørsel,160,160,141,6,13,0,147,0
30613791,Revisionsfirmaet Ivan Kjeldsen,Revisionsfirmaet Ivan Kjeldsen,159,159,124,13,21,1,137,0
30719131,Landbrugsrådgivning Syd,Landbrugsrådgivning Syd,159,159,159,0,0,0,159,0
29538565,Statsaut. Revisor J Løbner,Statsaut. Revisor J Løbner,158,158,130,11,17,0,141,0
20142146,Lerfeldt Revision,Lerfeldt Revision,155,155,152,3,0,0,155,0
25735560,Revisionsfirmaet Woiremose & Partner,Revisionsfirmaet Woiremose & Partner,154,154,154,0,0,0,154,0
40052992,"JHL Revision, Esbjerg","JHL Revision, Esbjerg",154,154,105,49,0,0,154,0
16347299,ReviNord,ReviNord,153,152,124,28,0,0,152,0
16953199,Revisionsfirmaet Christian Danielsen,Revisionsfirmaet Christian Danielsen,152,150,107,34,8,0,141,0
14569391,DM Revision,DM Revision,152,152,119,33,0,0,152,0
43573810,Jysk Revision og Rådgivning ApS,Jysk Revision og Rådgivning ApS,151,151,116,33,2,0,149,0
13254192,Revisionsfirmaet Gutfelt,Revisionsfirmaet Gutfelt,149,149,82,62,5,0,144,0
33649452,Harboe og B.,Harboe og B.,148,148,130,18,0,0,148,0
98727558,Revisionsfirmaet Tommy Larsen,Revisionsfirmaet Tommy Larsen,148,148,133,13,2,0,146,0
26279534,Revisionscentret 5R Esbjerg,Revisionscentret 5R Esbjerg,148,148,112,35,1,0,147,0
35383646,Revisionsfirmaet Jan Kristensen,Revisionsfirmaet Jan Kristensen,147,147,120,15,12,0,135,0
26306175,FKS Revision,FKS Revision,147,147,130,17,0,0,147,0
20452897,Plus Revision,Plus Revision,146,146,111,32,3,0,143,0
28108303,Gilfelt Revision,Gilfelt Revision,145,145,96,33,16,0,129,0
28309724,Jørn m. Schmidt Statsautoriseret Revisionsanpartsselskab,Jørn m. Schmidt Statsautoriseret Revisionsanpartsselskab,145,134,101,24,9,0,125,11
14119507,MP Revision,MP Revision,144,143,71,71,1,0,142,1
54471556,Revisionsfirmaet Jørgen Larsen,Revisionsfirmaet Jørgen Larsen + Revisionsfirmaet Jørgen Larsen I/S,142,141,98,32,11,0,130,0
28966571,RN - Revision Nordjylland,RN - Revision Nordjylland,141,141,141,0,0,0,141,0
26273110,Erhvervsrevisorerne i Vejle,Erhvervsrevisorerne i Vejle,140,140,98,29,12,1,127,0
25076079,Vestjysk Landboforening,Vestjysk Landboforening,140,140,140,0,0,0,140,0
14262172,Vedbæk Revision,Vedbæk Revision,139,139,125,9,5,0,134,0
30546792,Nyborg Erhvervsrevision,Nyborg Erhvervsrevision,138,138,109,25,4,0,134,0
39702215,ABL Revision,ABL Revision,136,136,136,0,0,0,136,0
37903949,2A Revision,2A Revision,126,126,126,0,0,0,126,0
12322143,Plan Revision v/Per Petersen,Plan Revision v/Per Petersen,123,123,100,23,0,0,123,0
25273621,Kongevejens Revision,Kongevejens Revision,122,122,84,24,14,0,108,0
43661434,TANGSTAD - STATSAUTORISERET REVISIONSANPARTSSELSKAB,TANGSTAD - STATSAUTORISERET REVISIONSANPARTSSELSKAB,121,121,113,8,0,0,121,0
41503610,Lemvigegnens Landboforening,Lemvigegnens Landboforening,121,121,102,18,1,0,120,0
31478383,Hartvig & Aalund,Hartvig & Aalund + Revisionsfirmaet Hartvig & Aalund,119,119,102,1,16,0,103,0
27492487,RND Partner,RND Partner,118,118,90,28,0,0,118,0
15270144,Revisionsfirmaet Flemming Hansen,Revisionsfirmaet Flemming Hansen,117,115,55,6,53,0,61,2
72430816,Revfirma Georg Mathiasen,Revfirma Georg Mathiasen,116,111,48,7,55,1,55,0
28483902,Asla Revision,Asla Revision,115,115,84,31,0,0,115,0
33074441,Damgaard Revision,Damgaard Revision,115,115,93,7,15,0,100,0
15396105,Revisionsfirmaet Erik Hultquist,Revisionsfirmaet Erik Hultquist,114,114,100,10,4,0,110,0
34330042,CURA Revision,CURA Revision,114,114,100,14,0,0,114,0
41998407,Nexø Revision A/S,Nexø Revision A/S,112,112,95,17,0,0,112,0
30318269,MN Revision og Rådgivning,MN Revision og Rådgivning,111,111,111,0,0,0,111,0
36071281,Ostenfeld Revision,Ostenfeld Revision,109,109,89,18,1,1,107,0
28136196,Revisionsfirmaet Mentor,Revisionsfirmaet Mentor,106,106,90,15,1,0,105,0
31742781,Agerbor Gruppen,Agerbor Gruppen,106,106,88,17,1,0,105,0
43325000,Ellebæk Revision godkendt revisionsanpartsselskab,Ellebæk Revision godkendt revisionsanpartsselskab,105,105,69,21,15,0,90,0
41552204,DanRevision Statsautoriseret Revisionsanpartsselskab,DanRevision Statsautoriseret Revisionsanpartsselskab,105,105,59,35,11,0,94,0
35238050,Momentum Revision,Momentum Revision,103,103,89,1,13,0,90,0
32563627,Gronemanns,Gronemanns,103,102,81,21,0,0,102,0
44535122,Andersen & Novakovic statsautoriseret revisionsanpartsselskab,Andersen & Novakovic statsautoriseret revisionsanpartsselskab,103,103,92,10,1,0,102,0
38818724,Kvist Revision ApS,Kvist Revision ApS,103,103,88,15,0,0,103,0
42825379,REVISION THY Registreret Revisionsanpartsselskab,REVISION THY Registreret Revisionsanpartsselskab,103,103,78,18,7,0,96,0
14335102,Revisorgården i Odense,Revisorgården i Odense,103,103,84,19,0,0,103,0
26454123,ARIES,ARIES,101,100,53,23,24,0,76,1
41672625,"Bornhøft & Lindemann, Registreret Revisionsanpartsselskab","Bornhøft & Lindemann, Registreret Revisionsanpartsselskab",101,101,84,17,0,0,101,0
39188678,Rödl & Partner Danmark,Rödl & Partner Danmark,98,96,43,12,41,0,55,2
38225804,Krydsrevision,Krydsrevision,98,98,87,5,3,3,92,0
35519432,Revisor-Team,Team Revision,97,97,97,0,0,0,97,0
45395634,Juul & Blicher ApS,Juul & Blicher ApS,96,95,54,21,20,0,75,1
46080041,LD&C Statsautoriseret Revisionsanpartsselskab,LD&C Statsautoriseret Revisionsanpartsselskab,96,96,79,17,0,0,96,0
10686504,Revisionsfirmaet Evan Klarholt,Revisionsfirmaet Evan Klarholt,95,95,95,0,0,0,95,0
37522945,PN Revision,PN Revision,94,94,57,14,22,1,71,0
35891986,ECO Revision,ECO Revision,94,94,94,0,0,0,94,0
18192195,Revisionsfimaet W. Bach Nørgaard,Revisionsfimaet W. Bach Nørgaard,93,93,71,14,8,0,85,0
26730597,Revisto I/S,Revisto I/S,93,93,54,0,39,0,54,0
17037307,Centrum Revision V/Kurt Håkonsson,Centrum Revision V/Kurt Håkonsson,91,91,53,10,28,0,63,0
18216833,Realvision,Realvision,91,91,75,9,7,0,84,0
71344517,Buch&Nørgaard,Buch&Nørgaard,91,91,54,37,0,0,91,0
29529507,Schmidt Revision,Schmidt Revision,91,91,79,9,2,1,88,0
76637415,Høffner Revision,Høffner Revision,91,91,78,13,0,0,91,0
45328988,"Lorentzen & Partners, Statsautoriserede Revisorer ApS","Lorentzen & Partners, Statsautoriserede Revisorer ApS",90,90,52,31,7,0,83,0
