mne,pub_month,antal,aktive
mne32748,10,2,0
mne34324,9,14,0
mne33854,3,53,0
mne11106,2,5,0
mne17154,6,29,0
mne43455,12,13,0
mne10954,2,7,0
mne3376,6,20,0
mne33722,11,11,0
mne33693,7,15,0
mne33212,2,33,0
mne23297,6,35,0
mne24638,6,40,0
mne32064,4,24,0
mne33224,3,31,3
mne31429,6,46,0
mne18625,6,55,0
mne26804,3,4,0
mne11469,5,15,0
mne32733,6,92,0
mne42817,4,11,0
mne31400,4,16,1
mne31457,5,32,0
mne31477,11,14,0
mne47824,5,45,0
mne3376,5,11,0
mne34140,3,37,0
mne35664,6,29,0
mne42794,2,22,0
mne2896,6,76,1
mne34554,4,13,0
mne12199,3,30,0
mne36189,3,9,0
mne42773,11,6,0
mne33198,4,44,0
mne6353,10,26,0
mne26771,6,136,1
mne33779,3,24,0
mne33753,6,115,2
mne10887,5,6,0
mne24822,4,21,0
mne24807,2,2,0
mne29466,11,6,0
mne29462,6,72,0
mne27701,6,48,0
mne34108,9,22,0
mne34108,5,42,0
mne5657,10,14,0
mne10746,11,2,0
mne32848,1,26,0
mne34536,6,155,0
mne24769,12,19,1
mne33710,9,8,0
mne35478,6,59,1
mne50559,6,95,0
mne33761,11,14,0
mne30183,3,39,0
mne32221,1,10,0
mne35789,6,30,0
mne48471,3,21,2
mne16302,6,18,0
mne47785,1,13,0
mne36190,9,13,0
mne34339,7,12,0
mne31400,5,28,3
mne35834,3,21,1
mne34496,6,73,0
mne23414,10,19,0
mne42828,3,36,1
mne35438,7,53,3
mne33755,6,214,1
mne23368,3,11,0
mne15429,6,68,0
mne34271,3,31,0
mne16826,7,26,2
mne31412,5,41,1
mne36029,3,11,0
mne21318,7,35,0
mne32743,7,18,0
mne11903,1,4,0
mne34321,3,35,0
mne47822,6,66,0
mne19677,11,17,3
mne27741,7,38,0
mne28661,2,24,0
mne33198,7,32,0
mne34103,5,63,0
mne17340,5,8,0
mne5657,5,29,0
mne17021,6,100,0
mne30224,1,4,1
mne24684,12,14,0
mne11748,6,45,0
mne51045,10,1,0
mne34140,1,22,0
mne29419,7,35,0
mne27742,4,40,0
mne36183,2,19,0
mne26734,2,26,0
mne23294,3,26,0
mne48482,1,20,0
mne17225,10,10,0
mne29390,6,27,0
mne32739,4,34,0
mne32128,6,24,0
mne16912,6,54,7
mne33195,5,15,1
mne33198,5,39,0
mne23368,6,32,0
mne689,10,14,0
mne43455,5,34,0
mne46587,11,5,0
mne862,3,27,0
mne34442,10,12,0
mne23324,11,33,0
mne34289,10,9,0
mne3913,1,4,0
mne2584,6,15,0
mne35471,5,28,0
mne33198,12,22,0
mne34517,6,73,0
mne15969,5,37,0
mne32785,3,161,0
mne31373,6,63,0
mne33244,5,48,0
mne35388,6,66,1
mne32181,4,35,0
mne33854,6,109,1
mne42784,3,164,0
mne11645,6,107,1
mne34088,2,21,0
mne48482,3,17,0
mne196,4,5,0
mne12488,11,5,0
mne32133,3,19,0
mne26762,6,54,0
mne48482,4,48,0
mne29420,1,16,0
mne34276,3,67,2
mne27703,5,54,0
mne28666,6,36,0
mne35463,5,6,0
mne34276,7,56,0
mne31397,6,67,0
mne49112,6,56,0
mne23420,1,23,0
mne19699,11,17,1
mne32107,6,75,0
mne21381,2,18,0
mne19698,4,79,0
mne32857,8,3,0
mne16912,2,9,0
mne33762,5,32,0
mne11745,6,105,0
mne1547,3,31,0
mne45892,7,4,0
mne10948,6,64,0
mne32735,6,103,0
mne33714,6,126,0
mne24813,11,15,0
mne33693,2,26,0
mne47904,12,4,0
mne46610,2,17,0
mne33707,10,7,0
mne35437,12,5,0
mne19677,7,51,3
mne16560,8,4,0
mne33686,12,50,1
mne34554,5,15,1
mne31488,6,56,0
mne34274,7,12,0
mne42793,7,55,0
mne33733,11,23,0
mne16868,11,3,0
mne26695,6,81,0
mne30224,4,56,1
mne34272,7,27,0
mne43455,11,19,0
mne6428,9,4,0
mne7480,6,35,1
mne3109,6,54,0
mne23366,5,45,0
mne34520,1,19,0
mne23318,5,33,0
mne1547,6,64,1
mne33723,1,4,0
mne42894,3,22,0
mne31412,4,19,0
mne36186,6,88,1
mne23413,6,61,12
mne503,12,15,0
mne1826,10,10,0
mne867,5,14,0
mne49065,5,6,0
mne15867,1,18,0
mne52143,5,22,0
mne17402,12,19,0
mne18547,10,8,0
mne21405,10,13,0
mne27703,6,82,0
mne34505,10,13,0
mne32204,6,119,0
mne19674,6,42,0
mne17073,4,12,0
mne23297,5,15,0
mne47778,12,7,0
mne17897,6,32,0
mne34278,5,30,0
mne32802,1,11,0
mne44064,10,7,0
mne35438,4,30,2
mne29444,11,12,0
mne48730,3,6,0
mne24721,4,35,0
mne16302,7,14,0
mne1068,3,24,0
mne31481,3,52,2
mne16902,10,11,0
mne35786,12,19,3
mne689,11,2,0
mne35805,4,6,0
mne33686,6,117,0
mne2584,12,8,0
mne47798,6,34,0
mne24773,6,10,1
mne35457,4,19,0
mne34114,11,4,0
mne34298,6,87,0
mne34390,7,96,0
mne2433,12,4,0
mne47812,11,8,0
mne17323,12,24,0
mne48730,6,19,0
mne44064,12,15,0
mne2501,11,15,0
mne24817,6,70,0
mne19674,12,17,0
mne42831,11,8,0
mne23302,10,2,0
mne604,6,19,0
mne34271,10,18,0
mne19744,5,13,0
mne12006,12,9,0
mne34505,7,28,1
mne34543,6,54,0
mne28681,12,22,0
mne34272,2,22,0
mne15242,3,12,1
mne33779,9,7,0
mne31480,12,36,0
mne49147,3,17,0
mne29356,12,20,3
mne16812,3,11,0
mne36178,7,21,0
mne32727,1,8,0
mne661,7,69,0
mne32739,6,123,0
mne27866,5,78,1
mne3097,12,17,0
mne34178,12,11,0
mne11740,9,7,0
mne1826,12,30,0
mne48482,11,12,0
mne16856,7,12,0
mne2564,11,14,0
mne27737,5,14,0
mne27703,7,37,0
mne32199,7,25,0
mne2483,2,8,0
mne34536,12,46,0
mne17402,3,17,0
mne30216,6,38,0
mne34460,11,10,0
mne33725,6,124,0
mne21387,2,9,2
mne32727,12,15,1
mne33705,4,43,0
mne24824,5,24,0
mne34276,4,44,0
mne36181,9,13,0
mne32857,6,61,0
mne48483,8,1,0
mne1828,6,14,0
mne24699,11,12,0
mne9190,6,5,0
mne47788,3,6,0
mne12588,6,32,0
mne49099,5,22,0
mne12318,1,17,1
mne36190,3,41,0
mne42773,3,31,0
mne32777,6,60,0
mne32739,5,53,0
mne31450,11,10,0
mne16850,5,12,0
mne34262,5,28,0
mne12352,6,18,0
mne35391,1,30,0
mne10776,2,7,0
mne35838,1,18,0
mne31447,1,8,0
mne23183,9,13,0
mne47833,7,37,0
mne23304,7,34,0
mne47800,7,16,0
mne33756,4,30,0
mne26805,3,17,0
mne34124,3,51,0
mne19744,11,20,0
mne6304,6,22,0
mne33711,12,46,0
mne26694,2,19,0
mne23279,10,5,0
mne32115,7,13,0
mne34511,4,23,0
mne34347,6,28,0
mne3844,3,8,0
mne35438,6,94,2
mne15619,5,17,0
mne45819,7,21,0
mne32181,9,17,0
mne30224,7,64,0
mne15242,11,4,0
mne24773,2,5,0
mne49105,6,31,0
mne44113,7,39,0
mne46636,6,72,0
mne46608,5,13,0
mne49093,6,29,0
mne34359,6,18,0
mne33216,6,39,0
mne34169,1,11,0
mne34145,8,5,0
mne31481,11,8,0
mne46256,4,11,0
mne29391,12,9,0
mne2371,11,10,2
mne34171,2,31,0
mne33725,2,4,0
mne29474,4,25,0
mne30207,4,58,0
mne46609,3,17,0
mne29476,6,17,0
mne31400,3,32,2
mne16852,4,52,0
mne19677,8,4,0
mne32857,2,14,0
mne2506,5,6,0
mne1022,5,15,0
mne26692,11,6,0
mne35787,12,7,0
mne32733,12,35,0
mne34276,12,35,0
mne47263,6,54,0
mne32221,10,9,0
mne18513,5,13,0
mne32205,7,16,0
mne33211,3,28,0
mne11737,7,26,1
mne31488,4,26,0
mne14950,6,96,2
mne862,6,181,1
mne34159,6,88,0
mne33212,5,71,1
mne32739,3,60,0
mne10157,6,19,0
mne45848,6,8,0
Ukendt revisor,4,223,0
mne28654,6,94,0
mne46610,3,30,0
mne24813,4,8,0
mne26825,6,55,0
mne47764,4,19,0
mne3901,6,50,0
mne34300,7,9,0
mne35391,2,37,0
mne49105,11,7,0
mne31404,12,71,0
mne32205,6,49,0
mne35455,11,33,0
mne32107,5,37,0
mne34092,6,64,1
mne34456,6,10,0
mne51582,1,1,0
mne34290,6,106,4
mne18078,6,131,3
mne12352,7,2,0
mne31399,9,18,0
mne24638,3,14,0
mne18620,1,4,0
mne34101,6,31,0
mne26733,3,26,0
mne35807,9,14,0
mne18078,11,34,0
mne34189,3,39,0
mne34468,4,21,0
mne16912,5,16,5
mne9261,8,2,0
mne34514,5,28,0
mne17801,6,59,0
mne604,5,9,0
mne34173,2,11,0
mne27768,5,16,0
mne33854,12,28,1
mne32170,10,6,0
mne10887,11,4,0
mne10887,8,2,0
mne33207,6,118,2
mne42777,6,46,0
mne48473,6,70,0
mne15619,10,9,0
mne47422,6,29,0
mne33779,4,23,0
mne34522,3,8,0
mne34290,1,87,0
mne31480,2,55,0
mne42771,3,14,0
mne15927,6,13,0
mne34144,1,18,0
mne29369,4,10,0
mne34173,5,37,0
mne47767,12,10,0
mne30183,7,21,0
mne31450,6,161,0
mne4502,1,5,0
mne30193,7,20,0
mne33221,10,12,0
mne11469,9,2,0
mne28629,4,64,0
mne34272,5,30,0
mne2896,12,38,0
mne24820,5,49,0
mne35664,3,10,0
mne12488,2,8,0
mne33689,4,30,0
mne8317,5,21,0
mne26804,2,3,0
mne6353,12,47,1
mne48483,5,29,2
mne34339,6,30,0
mne33198,1,3,0
mne30207,12,28,0
mne51058,3,11,0
mne16922,4,26,0
mne42894,7,5,0
mne34140,6,56,1
mne28606,4,32,0
mne32735,3,38,0
mne34472,10,12,0
mne33198,11,24,0
mne41367,3,17,0
mne34151,11,6,0
mne34324,11,24,1
mne1068,6,30,3
mne27705,5,26,0
mne32107,9,3,0
mne32231,12,14,0
mne16922,10,25,0
mne52091,1,5,0
mne11512,6,69,0
mne32129,6,186,0
mne15429,1,11,0
mne35464,9,14,0
mne34162,10,6,0
mne5783,9,6,0
mne47808,4,5,0
mne32840,6,17,0
mne33221,2,21,0
mne12006,3,7,0
mne44108,4,1,0
mne29391,4,21,0
mne32777,7,2,0
mne26645,10,4,0
mne31373,3,29,2
mne34282,1,2,0
mne45848,5,5,0
mne28657,4,8,0
mne32204,3,43,0
mne32079,11,33,0
mne42777,5,20,0
mne2427,12,7,0
mne26783,5,29,0
mne36178,4,26,0
Ukendt revisor,10,169,4
mne41306,11,8,0
mne33731,4,6,0
mne31428,3,37,0
mne17386,5,7,0
mne46608,2,7,0
mne35471,11,9,1
mne32840,11,9,0
mne26805,12,22,0
mne35794,12,29,0
mne34468,5,24,0
mne23333,6,10,0
mne5783,4,35,0
mne33221,7,9,0
mne31487,4,15,0
mne41367,2,7,0
